GRUPO_REFERENCIA;MUNICIPIO_INSTITUCION;DEPARTAMENTO_INSTITUCION;ID_INSTITUCION;INSTITUCION;ORIGEN;CARACTER;SNIES;MUNICIPIO_PROGRAMAACADEMICO;DEPARTAMENTO_PROGRAMAACADEMICO;PROGRAMA_ACADEMICO;NOMBRE_MODULO;TOTAL_EVALGRUPO_INSTPROGRAMA;PROMEDIO_PUNTAJEGLOBAL;DESVI_ESTANDAR_PUNTAJEGLOBAL;PROMEDIO_PUNTAJEPRUEBA;DESVI_ESTANDAR_PUNTAJEPRUEBA
CIENCIAS AGROPECUARIAS ;IBAGUÉ;TOLIMA;1207;UNIVERSIDAD DEL TOLIMA-IBAGUE;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;810;IBAGUÉ;TOLIMA;INGENIERIA AGRONOMICA;FORMULACIÓN DE PROYECTOS DE INGENIERÍA;54;150;16;146;23
CIENCIAS AGROPECUARIAS ;IBAGUÉ;TOLIMA;1207;UNIVERSIDAD DEL TOLIMA-IBAGUE;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;810;IBAGUÉ;TOLIMA;INGENIERIA AGRONOMICA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;54;150;16;137;23
CIENCIAS AGROPECUARIAS ;IBAGUÉ;TOLIMA;1207;UNIVERSIDAD DEL TOLIMA-IBAGUE;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;810;IBAGUÉ;TOLIMA;INGENIERIA AGRONOMICA;PRODUCCIÓN AGRÍCOLA;54;150;16;165;22
CIENCIAS AGROPECUARIAS ;IBAGUÉ;TOLIMA;1207;UNIVERSIDAD DEL TOLIMA-IBAGUE;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;801;IBAGUÉ;TOLIMA;MEDICINA VETERINARIA Y ZOOTECNIA;PRODUCCIÓN PECUARIA;69;158;15;154;23
CIENCIAS AGROPECUARIAS ;IBAGUÉ;TOLIMA;1207;UNIVERSIDAD DEL TOLIMA-IBAGUE;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;53731;CALI;VALLE;MEDICINA VETERINARIA Y ZOOTECNIA;PRODUCCIÓN PECUARIA;18;129;20;129;21
CIENCIAS AGROPECUARIAS ;IBAGUÉ;TOLIMA;1207;UNIVERSIDAD DEL TOLIMA-IBAGUE;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;801;IBAGUÉ;TOLIMA;MEDICINA VETERINARIA Y ZOOTECNIA;SALUD Y BIENESTAR ANIMAL;69;158;15;160;27
CIENCIAS AGROPECUARIAS ;IBAGUÉ;TOLIMA;1207;UNIVERSIDAD DEL TOLIMA-IBAGUE;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;53731;CALI;VALLE;MEDICINA VETERINARIA Y ZOOTECNIA;SALUD Y BIENESTAR ANIMAL;18;129;20;111;19
CIENCIAS AGROPECUARIAS ;OCAÑA;NORTE SANTANDER;1210;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-OCAÑA;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;53753;OCAÑA;NORTE SANTANDER;ZOOTECNIA;PRODUCCIÓN PECUARIA;32;132;16;136;23
CIENCIAS AGROPECUARIAS ;BUCARAMANGA;SANTANDER;1204;UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;53779;MÁLAGA;SANTANDER;ZOOTECNIA;PRODUCCIÓN PECUARIA;11;140;12;156;20
CIENCIAS AGROPECUARIAS ;SOCORRO;SANTANDER;1811;UNIVERSIDAD LIBRE-SOCORRO;NO OFICIAL - CORPORACIÓN;UNIVERSIDAD;53238;SOCORRO;SANTANDER;ZOOTECNIA;PRODUCCIÓN PECUARIA;19;128;20;131;31
CIENCIAS AGROPECUARIAS ;BOGOTÁ D.C.;BOGOTA;2102;UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.;OFICIAL NACIONAL;UNIVERSIDAD;52061;BOGOTÁ D.C.;BOGOTA;AGRONOMIA;PRODUCCIÓN AGRÍCOLA;214;132;19;140;24
CIENCIAS AGROPECUARIAS ;BOGOTÁ D.C.;BOGOTA;2102;UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.;OFICIAL NACIONAL;UNIVERSIDAD;1687;BOGOTÁ D.C.;BOGOTA;ZOOTECNIA;PRODUCCIÓN PECUARIA;88;137;20;133;30
CIENCIAS AGROPECUARIAS ;BOGOTÁ D.C.;BOGOTA;1101;UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.;OFICIAL NACIONAL;UNIVERSIDAD;1;BOGOTÁ D.C.;BOGOTA;INGENIERIA AGRONOMICA;FORMULACIÓN DE PROYECTOS DE INGENIERÍA;71;174;16;170;22
CIENCIAS AGROPECUARIAS ;BOGOTÁ D.C.;BOGOTA;1101;UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.;OFICIAL NACIONAL;UNIVERSIDAD;1;BOGOTÁ D.C.;BOGOTA;INGENIERIA AGRONOMICA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;71;174;16;171;19
CIENCIAS AGROPECUARIAS ;BOGOTÁ D.C.;BOGOTA;1101;UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.;OFICIAL NACIONAL;UNIVERSIDAD;1;BOGOTÁ D.C.;BOGOTA;INGENIERIA AGRONOMICA;PRODUCCIÓN AGRÍCOLA;71;174;16;192;18
CIENCIAS AGROPECUARIAS ;BOGOTÁ D.C.;BOGOTA;1101;UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.;OFICIAL NACIONAL;UNIVERSIDAD;2;BOGOTÁ D.C.;BOGOTA;MEDICINA VETERINARIA;SALUD Y BIENESTAR ANIMAL;66;175;16;183;24
CIENCIAS AGROPECUARIAS ;BOGOTÁ D.C.;BOGOTA;1101;UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.;OFICIAL NACIONAL;UNIVERSIDAD;3;BOGOTÁ D.C.;BOGOTA;ZOOTECNIA;PRODUCCIÓN PECUARIA;54;172;18;185;22
CIENCIAS AGROPECUARIAS ;MEDELLÍN;ANTIOQUIA;1102;UNIVERSIDAD NACIONAL DE COLOMBIA-MEDELLIN;OFICIAL NACIONAL;UNIVERSIDAD;16926;MEDELLÍN;ANTIOQUIA;ZOOTECNIA;PRODUCCIÓN PECUARIA;34;163;18;196;25
CIENCIAS AGROPECUARIAS ;PALMIRA;VALLE;1104;UNIVERSIDAD NACIONAL DE COLOMBIA-PALMIRA;OFICIAL NACIONAL;UNIVERSIDAD;3104;PALMIRA;VALLE;INGENIERIA AGRONOMICA;FORMULACIÓN DE PROYECTOS DE INGENIERÍA;52;164;20;159;24
CIENCIAS AGROPECUARIAS ;PALMIRA;VALLE;1104;UNIVERSIDAD NACIONAL DE COLOMBIA-PALMIRA;OFICIAL NACIONAL;UNIVERSIDAD;3104;PALMIRA;VALLE;INGENIERIA AGRONOMICA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;52;164;20;151;26
CIENCIAS AGROPECUARIAS ;PALMIRA;VALLE;1104;UNIVERSIDAD NACIONAL DE COLOMBIA-PALMIRA;OFICIAL NACIONAL;UNIVERSIDAD;3104;PALMIRA;VALLE;INGENIERIA AGRONOMICA;PRODUCCIÓN AGRÍCOLA;52;164;20;176;26
CIENCIAS AGROPECUARIAS ;PALMIRA;VALLE;1104;UNIVERSIDAD NACIONAL DE COLOMBIA-PALMIRA;OFICIAL NACIONAL;UNIVERSIDAD;143;PALMIRA;VALLE;ZOOTECNIA;PRODUCCIÓN PECUARIA;25;158;19;144;36
CIENCIAS AGROPECUARIAS ;DUITAMA;BOYACA;1107;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-DUITAMA;OFICIAL NACIONAL;UNIVERSIDAD;210;DUITAMA;BOYACA;ADMINISTRACION DE EMPRESAS AGROPECUARIAS;PRODUCCIÓN AGRÍCOLA;61;137;15;113;17
CIENCIAS AGROPECUARIAS ;TUNJA;BOYACA;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA;OFICIAL NACIONAL;UNIVERSIDAD;4338;TUNJA;BOYACA;MEDICINA VETERINARIA Y ZOOTECNIA;PRODUCCIÓN PECUARIA;81;156;16;161;20
CIENCIAS AGROPECUARIAS ;TUNJA;BOYACA;1106;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA;OFICIAL NACIONAL;UNIVERSIDAD;4338;TUNJA;BOYACA;MEDICINA VETERINARIA Y ZOOTECNIA;SALUD Y BIENESTAR ANIMAL;81;156;16;162;25
CIENCIAS AGROPECUARIAS ;BOGOTÁ D.C.;BOGOTA;1704;UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;7214;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS AGROPECUARIAS;FORMULACIÓN, EVALUACIÓN Y GESTIÓN DE PROYECTOS;32;136;20;148;32
CIENCIAS AGROPECUARIAS ;BOGOTÁ D.C.;BOGOTA;1704;UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;7214;BOGOTÁ D.C.;BOGOTA;ADMINISTRACION DE EMPRESAS AGROPECUARIAS;GESTIÓN FINANCIERA;32;136;20;141;27
CIENCIAS AGROPECUARIAS ;BOGOTÁ D.C.;BOGOTA;1704;UNIVERSIDAD SANTO TOMAS-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;53097;BOGOTÁ D.C.;BOGOTA;ZOOTECNIA;PRODUCCIÓN PECUARIA;6;153;14;148;31
CIENCIAS AGROPECUARIAS ;PEREIRA;RISARALDA;1111;UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA;OFICIAL NACIONAL;UNIVERSIDAD;52722;PEREIRA;RISARALDA;MEDICINA VETERINARIA Y ZOOTECNIA;PRODUCCIÓN PECUARIA;68;145;21;147;23
CIENCIAS AGROPECUARIAS ;PEREIRA;RISARALDA;1111;UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA;OFICIAL NACIONAL;UNIVERSIDAD;52722;PEREIRA;RISARALDA;MEDICINA VETERINARIA Y ZOOTECNIA;SALUD Y BIENESTAR ANIMAL;68;145;21;138;23
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;102921;BOGOTÁ D.C.;BOGOTA;BIOLOGÍA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;12;188;14;180;17
CIENCIAS NATURALES Y EXACTAS;SANTA ROSA DE CABAL;RISARALDA;2818;CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-SANTA ROSA DE CABAL;NO OFICIAL - CORPORACIÓN;INSTITUCIÓN UNIVERSITARIA;53586;SANTA ROSA DE CABAL;RISARALDA;BIOLOGIA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;13;156;15;150;17
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;2811;"ESCUELA COLOMBIANA DE INGENIERIA""JULIO GARAVITO""-BOGOTÁ D.C.";NO OFICIAL - CORPORACIÓN;INSTITUCIÓN UNIVERSITARIA;17443;BOGOTÁ D.C.;BOGOTA;MATEMATICAS;PENSAMIENTO CIENTÍFICO - MATEMÁTICAS Y ESTADÍSTICA;9;164;18;157;10
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1707;"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.";NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;11185;BOGOTÁ D.C.;BOGOTA;BIOLOGIA AMBIENTAL;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;21;169;17;168;22
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1707;"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.";NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;1158;BOGOTÁ D.C.;BOGOTA;BIOLOGIA MARINA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;25;158;17;154;21
CIENCIAS NATURALES Y EXACTAS;POPAYÁN;CAUCA;2715;FUNDACION UNIVERSITARIA DE POPAYAN-POPAYAN;NO OFICIAL - FUNDACIÓN;INSTITUCIÓN UNIVERSITARIA;1861;POPAYÁN;CAUCA;ECOLOGIA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;1;135;0;141;0
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;2712;FUNDACION UNIVERSITARIA KONRAD LORENZ-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;INSTITUCIÓN UNIVERSITARIA;7349;BOGOTÁ D.C.;BOGOTA;MATEMATICAS;PENSAMIENTO CIENTÍFICO - MATEMÁTICAS Y ESTADÍSTICA;8;172;32;159;16
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;2725;POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;INSTITUCIÓN UNIVERSITARIA;4078;BOGOTÁ D.C.;BOGOTA;MATEMATICAS;PENSAMIENTO CIENTÍFICO - MATEMÁTICAS Y ESTADÍSTICA;1;137;0;131;0
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1701;PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;964;BOGOTÁ D.C.;BOGOTA;BIOLOGIA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;43;174;15;167;20
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1701;PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;2842;BOGOTÁ D.C.;BOGOTA;ECOLOGIA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;46;169;23;155;21
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1701;PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;965;BOGOTÁ D.C.;BOGOTA;MATEMATICAS;PENSAMIENTO CIENTÍFICO - MATEMÁTICAS Y ESTADÍSTICA;5;192;18;179;27
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1701;PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;2830;BOGOTÁ D.C.;BOGOTA;MICROBIOLOGIA INDUSTRIAL;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;50;168;16;159;17
CIENCIAS NATURALES Y EXACTAS;CALI;VALLE;1702;PONTIFICIA UNIVERSIDAD JAVERIANA-CALI;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;54562;CALI;VALLE;BIOLOGÍA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;12;172;17;158;16
CIENCIAS NATURALES Y EXACTAS;CALI;VALLE;1702;PONTIFICIA UNIVERSIDAD JAVERIANA-CALI;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;53052;CALI;VALLE;MATEMATICAS APLICADAS;PENSAMIENTO CIENTÍFICO - MATEMÁTICAS Y ESTADÍSTICA;5;183;24;180;15
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1826;UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;UNIVERSIDAD;102976;BOGOTÁ D.C.;BOGOTA;BIOQUIMICA;PENSAMIENTO CIENTÍFICO - QUÍMICA;11;159;17;156;25
CIENCIAS NATURALES Y EXACTAS;MANIZALES;CALDAS;1827;UNIVERSIDAD CATOLICA DE MANIZALES-MANIZALES;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;2016;MANIZALES;CALDAS;BACTERIOLOGIA;ATENCIÓN EN SALUD;58;145;16;139;26
CIENCIAS NATURALES Y EXACTAS;MANIZALES;CALDAS;1827;UNIVERSIDAD CATOLICA DE MANIZALES-MANIZALES;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;2016;MANIZALES;CALDAS;BACTERIOLOGIA;PROMOCIÓN DE LA SALUD Y PREVENCIÓN DE LA ENFERMEDAD;58;145;16;144;26
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1709;UNIVERSIDAD CENTRAL-BOGOTÁ D.C.;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;91432;BOGOTÁ D.C.;BOGOTA;MATEMATICAS;PENSAMIENTO CIENTÍFICO - MATEMÁTICAS Y ESTADÍSTICA;4;158;5;157;15
CIENCIAS NATURALES Y EXACTAS;MEDELLÍN;ANTIOQUIA;2708;UNIVERSIDAD CES-MEDELLIN;NO OFICIAL - FUNDACIÓN;UNIVERSIDAD;20448;MEDELLÍN;ANTIOQUIA;BIOLOGIA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;10;166;23;161;19
CIENCIAS NATURALES Y EXACTAS;ANDES;ANTIOQUIA;1220;UNIVERSIDAD DE ANTIOQUIA-ANDES;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;52601;ANDES;ANTIOQUIA;MATEMATICAS;PENSAMIENTO CIENTÍFICO - MATEMÁTICAS Y ESTADÍSTICA;2;132;12;141;3
CIENCIAS NATURALES Y EXACTAS;EL CARMEN DE VIBORAL;ANTIOQUIA;1219;UNIVERSIDAD DE ANTIOQUIA-CARMEN DE VIBORAL;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;52635;EL CARMEN DE VIBORAL;ANTIOQUIA;BIOLOGIA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;26;167;16;165;18
CIENCIAS NATURALES Y EXACTAS;MEDELLÍN;ANTIOQUIA;1201;UNIVERSIDAD DE ANTIOQUIA-MEDELLIN;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;54182;MEDELLÍN;ANTIOQUIA;ASTRONOMIA;PENSAMIENTO CIENTÍFICO - CIENCIAS FÍSICAS;14;186;18;171;21
CIENCIAS NATURALES Y EXACTAS;MEDELLÍN;ANTIOQUIA;1201;UNIVERSIDAD DE ANTIOQUIA-MEDELLIN;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;452;MEDELLÍN;ANTIOQUIA;BIOLOGIA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;61;174;19;167;25
CIENCIAS NATURALES Y EXACTAS;MEDELLÍN;ANTIOQUIA;1201;UNIVERSIDAD DE ANTIOQUIA-MEDELLIN;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;453;MEDELLÍN;ANTIOQUIA;FISICA;PENSAMIENTO CIENTÍFICO - CIENCIAS FÍSICAS;26;180;21;165;16
CIENCIAS NATURALES Y EXACTAS;MEDELLÍN;ANTIOQUIA;1201;UNIVERSIDAD DE ANTIOQUIA-MEDELLIN;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;454;MEDELLÍN;ANTIOQUIA;MATEMATICAS;PENSAMIENTO CIENTÍFICO - MATEMÁTICAS Y ESTADÍSTICA;7;165;12;165;6
CIENCIAS NATURALES Y EXACTAS;MEDELLÍN;ANTIOQUIA;1201;UNIVERSIDAD DE ANTIOQUIA-MEDELLIN;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;17711;MEDELLÍN;ANTIOQUIA;MICROBIOLOGIA INDUSTRIAL Y AMBIENTAL;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;31;162;17;158;20
CIENCIAS NATURALES Y EXACTAS;MEDELLÍN;ANTIOQUIA;1201;UNIVERSIDAD DE ANTIOQUIA-MEDELLIN;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;455;MEDELLÍN;ANTIOQUIA;QUIMICA;PENSAMIENTO CIENTÍFICO - QUÍMICA;23;171;21;169;21
CIENCIAS NATURALES Y EXACTAS;TURBO;ANTIOQUIA;1223;UNIVERSIDAD DE ANTIOQUIA-TURBO;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;15994;TURBO;ANTIOQUIA;ECOLOGIA DE ZONAS COSTERAS;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;7;143;15;149;12
CIENCIAS NATURALES Y EXACTAS;MANIZALES;CALDAS;1112;UNIVERSIDAD DE CALDAS-MANIZALES;OFICIAL NACIONAL;UNIVERSIDAD;11203;MANIZALES;CALDAS;BIOLOGIA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;40;162;21;160;21
CIENCIAS NATURALES Y EXACTAS;MANIZALES;CALDAS;1112;UNIVERSIDAD DE CALDAS-MANIZALES;OFICIAL NACIONAL;UNIVERSIDAD;296;MANIZALES;CALDAS;GEOLOGIA;PENSAMIENTO CIENTÍFICO - CIENCIAS DE LA TIERRA;90;167;16;163;16
CIENCIAS NATURALES Y EXACTAS;CARTAGENA DE INDIAS;BOLIVAR;1205;UNIVERSIDAD DE CARTAGENA-CARTAGENA;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;90514;CARTAGENA DE INDIAS;BOLIVAR;BIOLOGÍA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;24;152;16;144;21
CIENCIAS NATURALES Y EXACTAS;CARTAGENA DE INDIAS;BOLIVAR;1205;UNIVERSIDAD DE CARTAGENA-CARTAGENA;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;2995;CARTAGENA DE INDIAS;BOLIVAR;MATEMATICAS;PENSAMIENTO CIENTÍFICO - MATEMÁTICAS Y ESTADÍSTICA;19;152;26;144;16
CIENCIAS NATURALES Y EXACTAS;CARTAGENA DE INDIAS;BOLIVAR;1205;UNIVERSIDAD DE CARTAGENA-CARTAGENA;OFICIAL DEPARTAMENTAL;UNIVERSIDAD;3137;CARTAGENA DE INDIAS;BOLIVAR;QUIMICA;PENSAMIENTO CIENTÍFICO - QUÍMICA;36;139;19;144;22
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1835;UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA.-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;UNIVERSIDAD;21473;BOGOTÁ D.C.;BOGOTA;QUIMICA;PENSAMIENTO CIENTÍFICO - QUÍMICA;53;150;15;148;18
CIENCIAS NATURALES Y EXACTAS;MONTERÍA;CORDOBA;1113;UNIVERSIDAD DE CORDOBA-MONTERIA;OFICIAL NACIONAL;UNIVERSIDAD;7822;MONTERÍA;CORDOBA;BIOLOGIA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;69;144;15;142;16
CIENCIAS NATURALES Y EXACTAS;MONTERÍA;CORDOBA;1113;UNIVERSIDAD DE CORDOBA-MONTERIA;OFICIAL NACIONAL;UNIVERSIDAD;8100;MONTERÍA;CORDOBA;ESTADISTICA;PENSAMIENTO CIENTÍFICO - MATEMÁTICAS Y ESTADÍSTICA;6;145;25;144;7
CIENCIAS NATURALES Y EXACTAS;MONTERÍA;CORDOBA;1113;UNIVERSIDAD DE CORDOBA-MONTERIA;OFICIAL NACIONAL;UNIVERSIDAD;8105;MONTERÍA;CORDOBA;MATEMATICAS;PENSAMIENTO CIENTÍFICO - MATEMÁTICAS Y ESTADÍSTICA;9;158;25;155;19
CIENCIAS NATURALES Y EXACTAS;MONTERÍA;CORDOBA;1113;UNIVERSIDAD DE CORDOBA-MONTERIA;OFICIAL NACIONAL;UNIVERSIDAD;4981;MONTERÍA;CORDOBA;QUIMICA;PENSAMIENTO CIENTÍFICO - QUÍMICA;38;144;18;149;19
CIENCIAS NATURALES Y EXACTAS;FLORENCIA;CAQUETA;1115;UNIVERSIDAD DE LA AMAZONIA-FLORENCIA;OFICIAL NACIONAL;UNIVERSIDAD;3608;FLORENCIA;CAQUETA;BIOLOGIA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;48;141;16;136;15
CIENCIAS NATURALES Y EXACTAS;FLORENCIA;CAQUETA;1115;UNIVERSIDAD DE LA AMAZONIA-FLORENCIA;OFICIAL NACIONAL;UNIVERSIDAD;52663;FLORENCIA;CAQUETA;QUIMICA;PENSAMIENTO CIENTÍFICO - QUÍMICA;19;153;20;162;22
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1803;UNIVERSIDAD DE LA SALLE-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;UNIVERSIDAD;55061;BOGOTÁ D.C.;BOGOTA;BIOLOGÍA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;32;165;21;161;19
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1813;UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;UNIVERSIDAD;1545;BOGOTÁ D.C.;BOGOTA;BIOLOGIA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;52;189;15;177;18
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1813;UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;UNIVERSIDAD;1546;BOGOTÁ D.C.;BOGOTA;FISICA;PENSAMIENTO CIENTÍFICO - CIENCIAS FÍSICAS;45;198;21;189;27
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1813;UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;UNIVERSIDAD;90772;BOGOTÁ D.C.;BOGOTA;GEOCIENCIAS;PENSAMIENTO CIENTÍFICO - CIENCIAS DE LA TIERRA;62;188;13;176;19
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1813;UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;UNIVERSIDAD;1547;BOGOTÁ D.C.;BOGOTA;MATEMATICAS;PENSAMIENTO CIENTÍFICO - MATEMÁTICAS Y ESTADÍSTICA;23;204;13;191;17
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1813;UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;UNIVERSIDAD;1548;BOGOTÁ D.C.;BOGOTA;MICROBIOLOGIA;PENSAMIENTO CIENTÍFICO - CIENCIAS BIOLÓGICAS;24;193;18;179;21
CIENCIAS NATURALES Y EXACTAS;BOGOTÁ D.C.;BOGOTA;1813;UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.;NO OFICIAL - CORPORACIÓN;UNIVERSIDAD;19948;BOGOTÁ D.C.;BOGOTA;QUIMICA;PENSAMIENTO CIENTÍFICO - QUÍMICA;14;195;18;195;14
